,Treatment,treatnameM,treatnameP,Replicate,Parasite,Count 1,Count 2,Count 3,Count 4,average,indwork,treatwork,co,stillalive,contaminated,pasteuria,exposed,Dissolved,dayslife,totbab,babperday,lastrepro,# of Babies 7/24,27-Jul,29-Jul,31-Jul,3-Aug,5-Aug,7-Aug,10-Aug,12-Aug,14-Aug,17-Aug,19-Aug,21-Aug,24-Aug,26-Aug,28-Aug,31-Aug,2-Sep,4-Sep,7-Sep,9-Sep,11-Sep,14-Sep,16-Sep,18-Sep,21-Sep,23-Sep,25-Sep,28-Sep,30-Sep,2-Oct,5-Oct,7-Oct,9-Oct,12-Oct,14-Oct,lifetimesig,fecundsig
1,1,none,none,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,35,149,4.257142857,34,1,6,0,8,8,6,0,9,5,8,11,0,12,5,7,0,9,11,0,0,7,2,4,2,5,7,0,6,0,10,0,0,0,0,0,0,1,1
2,1,none,none,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
3,1,none,none,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,38,129,3.394736842,35,1,6,0,7,7,6,1,6,9,10,10,3,4,3,3,0,1,8,0,7,0,6,9,4,6,0,7,0,1,0,4,0,0,0,0,0,1,1
4,1,none,none,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5,1,none,none,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,15,58,3.866666667,15,1,7,0,6,6,6,0,8,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,1,none,none,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
7,1,none,none,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,28,128,4.571428571,27,3,5,0,8,5,6,0,9,8,8,12,0,14,5,12,0,0,8,1,11,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,1,none,none,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
9,1,none,none,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,39,152,3.897435897,34,2,8,0,8,7,5,0,9,5,8,6,0,7,8,7,0,4,10,0,8,0,5,11,0,9,1,13,0,0,11,0,0,0,0,0,0,1,1
10,1,none,none,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
