treatment,replicate,month,day,month_adjust,host_age,day_past_infect,day_metsch_infect,day_infect,dead,missing,babies,coinf_treat,notes
11,1,June,26,-20,6,0,20,20,,,0,2,
11,2,June,26,-20,6,0,20,20,,,0,2,
11,3,June,26,-20,6,0,20,20,,,0,2,
11,4,June,26,-20,6,0,20,20,,,0,2,
11,5,June,26,-20,6,0,20,20,,,0,2,
11,6,June,26,-20,6,0,20,20,,,0,2,
11,7,June,26,-20,6,0,20,20,,,0,2,
11,8,June,26,-20,6,0,20,20,,,0,2,
11,9,June,26,-20,6,0,20,20,,,0,2,
11,10,June,26,-20,6,0,20,20,,,0,2,
11,11,June,26,-20,6,0,20,20,,,0,2,
11,12,June,26,-20,6,0,20,20,,,0,2,
11,13,June,26,-20,6,0,20,20,,,0,2,
11,14,June,26,-20,6,0,20,20,,,0,2,
11,15,June,26,-20,6,0,20,20,,,0,2,
11,16,June,26,-20,6,0,20,20,,,0,2,
11,17,June,26,-20,6,0,20,20,,,0,2,
11,18,June,26,-20,6,0,20,20,,,0,2,
11,19,June,26,-20,6,0,20,20,,,0,2,
11,20,June,26,-20,6,0,20,20,,,0,2,
11,21,June,26,-20,6,0,20,20,,,0,2,
11,22,June,26,-20,6,0,20,20,,,0,2,
11,23,June,26,-20,6,0,20,20,,,0,2,
11,24,June,26,-20,6,0,20,20,,,0,2,
11,25,June,26,-20,6,0,20,20,Y,Y,0,2,Replaced (0 babies)
11,26,June,26,-20,6,0,20,20,,,0,2,
11,27,June,26,-20,6,0,20,20,,,0,2,
11,28,June,26,-20,6,0,20,20,,,0,2,
11,29,June,26,-20,6,0,20,20,,,0,2,
11,30,June,26,-20,6,0,20,20,,,0,2,
12,1,June,26,-20,6,20,23,20,,,0,3,
12,2,June,26,-20,6,20,23,20,,,0,3,
12,3,June,26,-20,6,20,23,20,,,0,3,
12,4,June,26,-20,6,20,23,20,,,0,3,
12,5,June,26,-20,6,20,23,20,,,0,3,
12,6,June,26,-20,6,20,23,20,,,0,3,
12,7,June,26,-20,6,20,23,20,,,0,3,
12,8,June,26,-20,6,20,23,20,,,0,3,
12,9,June,26,-20,6,20,23,20,,,0,3,
12,10,June,26,-20,6,20,23,20,,,0,3,
12,11,June,26,-20,6,20,23,20,,,0,3,
12,12,June,26,-20,6,20,23,20,,,0,3,
12,13,June,26,-20,6,20,23,20,,,0,3,
12,14,June,26,-20,6,20,23,20,,,0,3,
12,15,June,26,-20,6,20,23,20,,,0,3,
12,16,June,26,-20,6,20,23,20,,,0,3,
12,17,June,26,-20,6,20,23,20,,,0,3,
12,18,June,26,-20,6,20,23,20,,,0,3,
12,19,June,26,-20,6,20,23,20,,,0,3,
12,20,June,26,-20,6,20,23,20,,,0,3,
12,21,June,26,-20,6,20,23,20,,,0,3,
12,22,June,26,-20,6,20,23,20,,,0,3,
12,23,June,26,-20,6,20,23,20,,,0,3,
12,24,June,26,-20,6,20,23,20,,,0,3,
12,25,June,26,-20,6,20,23,20,,,0,3,
12,26,June,26,-20,6,20,23,20,,,0,3,
12,27,June,26,-20,6,20,23,20,,,0,3,
12,28,June,26,-20,6,20,23,20,,,0,3,
12,29,June,26,-20,6,20,23,20,,,0,3,
12,30,June,26,-20,6,20,23,20,,,0,3,
13,1,June,26,-20,6,23,20,20,,,0,4,
13,2,June,26,-20,6,23,20,20,,,0,4,
13,3,June,26,-20,6,23,20,20,,,0,4,
13,4,June,26,-20,6,23,20,20,,,0,4,
13,5,June,26,-20,6,23,20,20,,,0,4,
13,6,June,26,-20,6,23,20,20,Y,Y,0,4,Replaced (0 babies)
13,7,June,26,-20,6,23,20,20,,,0,4,
13,8,June,26,-20,6,23,20,20,,,0,4,
13,9,June,26,-20,6,23,20,20,,,0,4,
13,10,June,26,-20,6,23,20,20,,,0,4,
13,11,June,26,-20,6,23,20,20,,,0,4,
13,12,June,26,-20,6,23,20,20,,,0,4,
13,13,June,26,-20,6,23,20,20,Y,Y,0,4,Replaced (0 babies)
13,14,June,26,-20,6,23,20,20,,,0,4,
13,15,June,26,-20,6,23,20,20,,,0,4,
13,16,June,26,-20,6,23,20,20,,,0,4,
13,17,June,26,-20,6,23,20,20,,,0,4,
13,18,June,26,-20,6,23,20,20,,,0,4,
13,19,June,26,-20,6,23,20,20,,,0,4,
13,20,June,26,-20,6,23,20,20,,,0,4,
13,21,June,26,-20,6,23,20,20,,,0,4,
13,22,June,26,-20,6,23,20,20,,,0,4,
13,23,June,26,-20,6,23,20,20,,,0,4,
13,24,June,26,-20,6,23,20,20,,,0,4,
13,25,June,26,-20,6,23,20,20,,,0,4,
13,26,June,26,-20,6,23,20,20,,,0,4,
13,27,June,26,-20,6,23,20,20,,,0,4,
13,28,June,26,-20,6,23,20,20,,,0,4,
13,29,June,26,-20,6,23,20,20,,,0,4,
13,30,June,26,-20,6,23,20,20,,,0,4,
6,1,June,26,-20,6,12,0,12,,,0,1,
6,2,June,26,-20,6,12,0,12,,,0,1,
6,3,June,26,-20,6,12,0,12,,,0,1,
6,4,June,26,-20,6,12,0,12,,,0,1,
6,5,June,26,-20,6,12,0,12,,,0,1,
6,6,June,26,-20,6,12,0,12,,,0,1,
6,7,June,26,-20,6,12,0,12,,,0,1,
6,8,June,26,-20,6,12,0,12,,,0,1,
6,9,June,26,-20,6,12,0,12,,,0,1,
6,10,June,26,-20,6,12,0,12,,,0,1,
6,11,June,26,-20,6,12,0,12,,,0,1,
6,12,June,26,-20,6,12,0,12,,,0,1,
6,13,June,26,-20,6,12,0,12,,,0,1,
6,14,June,26,-20,6,12,0,12,,,0,1,
6,15,June,26,-20,6,12,0,12,,,0,1,
6,16,June,26,-20,6,12,0,12,,,0,1,
6,17,June,26,-20,6,12,0,12,,,0,1,
6,18,June,26,-20,6,12,0,12,Y,Y,0,1,Replaced (0 babies)
6,19,June,26,-20,6,12,0,12,,,0,1,
6,20,June,26,-20,6,12,0,12,,,0,1,
6,21,June,26,-20,6,12,0,12,,,0,1,
6,22,June,26,-20,6,12,0,12,,,0,1,
6,23,June,26,-20,6,12,0,12,,,0,1,
6,24,June,26,-20,6,12,0,12,,,0,1,
6,25,June,26,-20,6,12,0,12,,,0,1,
6,26,June,26,-20,6,12,0,12,,,0,1,
6,27,June,26,-20,6,12,0,12,,,0,1,
6,28,June,26,-20,6,12,0,12,,,0,1,
6,29,June,26,-20,6,12,0,12,,,0,1,
6,30,June,26,-20,6,12,0,12,,,0,1,
