treatment,replicate,past_1,past_2,past_3,past_4,met_1,met_2,met_3,met_4,average_past,average_met,treat_fail,missing,cont,past_treat,met_treat,status,coinf_treat,coinf,age,past_inf,met_inf
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,2,112,93,109,90,0,0,0,0,101,0,0,0,0,1,0,2,1,0,1,1,0
2,3,136,115,126,135,0,0,0,0,128,0,0,0,0,1,0,2,1,0,1,1,0
2,5,232,199,224,201,0,0,0,0,214,0,0,0,0,1,0,2,1,0,1,1,0
2,6,162,149,174,165,0,0,0,0,162.5,0,0,0,0,1,0,2,1,0,1,1,0
2,7,98,99,103,92,0,0,0,0,98,0,0,0,0,1,0,2,1,0,1,1,0
2,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0
2,10,246,213,243,239,0,0,0,0,235.25,0,0,0,0,1,0,2,1,0,1,1,0
2,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
2,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0
2,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
2,13,73,44,48,48,0,0,0,0,53.25,0,0,0,0,1,0,2,1,0,1,1,0
2,14,185,207,222,208,0,0,0,0,205.5,0,0,0,0,1,0,2,1,0,1,1,0
2,15,111,126,120,128,0,0,0,0,121.25,0,0,0,0,1,0,2,1,0,1,1,0
2,16,101,100,102,86,0,0,0,0,97.25,0,0,0,0,1,0,2,1,0,1,1,0
2,18,157,179,116,159,0,0,0,0,152.75,0,0,0,0,1,0,2,1,0,1,1,0
2,19,211,199,176,178,0,0,0,0,191,0,0,0,0,1,0,2,1,0,1,1,0
2,20,88,107,113,103,0,0,0,0,102.75,0,0,0,0,1,0,2,1,0,1,1,0
2,21,135,139,140,126,0,0,0,0,135,0,0,0,0,1,0,2,1,0,1,1,0
2,22,206,224,215,223,0,0,0,0,217,0,0,0,0,1,0,2,1,0,1,1,0
2,23,7,0,0,2,0,0,0,0,2.25,0,0,0,0,1,0,2,1,0,1,1,0
2,25,250,232,243,221,0,0,0,0,236.5,0,0,0,0,1,0,2,1,0,1,1,0
2,26,116,95,81,108,0,0,0,0,100,0,0,0,0,1,0,2,1,0,1,1,0
2,27,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
2,28,6,7,11,9,0,0,0,0,8.25,0,0,0,0,1,0,2,1,0,1,1,0
2,29,2,3,0,2,0,0,0,0,1.75,0,0,0,0,1,0,2,1,0,1,1,0
2,30,845,845,845,845,0,0,0,0,845,0,0,0,0,1,0,2,1,0,1,1,0
3,1,0,0,0,0,84,79,83,81,0,81.75,0,0,0,0,1,3,1,0,1,0,1
3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
3,3,0,0,0,0,81,79,109,95,0,91,0,0,0,0,1,3,1,0,1,0,1
3,4,0,0,0,0,72,63,40,40,0,53.75,0,0,0,0,1,3,1,0,1,0,1
3,5,0,0,0,0,52,55,44,64,0,53.75,0,0,0,0,1,3,1,0,1,0,1
3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
3,8,0,0,0,0,6,10,6,5,0,6.75,0,0,0,0,1,3,1,0,1,0,1
3,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0
3,11,0,0,0,0,51,65,72,73,0,65.25,0,0,0,0,1,3,1,0,1,0,1
3,12,0,0,0,0,69,56,65,60,0,62.5,0,0,0,0,1,3,1,0,1,0,1
3,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0
3,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
3,16,0,0,0,0,95,101,108,93,0,99.25,0,0,0,0,1,3,1,0,1,0,1
3,17,0,0,0,0,63,69,49,58,0,59.75,0,0,0,0,1,3,1,0,1,0,1
3,18,0,0,0,0,85,77,79,77,0,79.5,0,0,0,0,1,3,1,0,1,0,1
